0 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
20 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1333,589 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1341,073 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1351,472 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1360,419 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1370,179 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1378,066 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1386,614 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1397,032 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1432,097 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1443,387 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1454,635 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1464,208 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1477,584 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1488,312 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1499,043 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1510,548 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1520,819 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1532,453 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1541,484 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1553,168 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1588,104 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1606,566 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1621,281 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1636,482 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1650,295 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1663,27 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1677,755 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1690,81 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1704,382 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1739,899 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
